total_amount,generated_clients,attended_clients,clients_type1,clients_type2,clients_type3,clients_type4,final_time,avg_wait_seller,avg_wait_technician,avg_wait_special,avg_time_in_system,seller_utilization,technician_utilization,special_utilization,seller_idle_pct,technician_idle_pct,special_idle_pct
4900,21,21,12,4,1,4,538.3633487433569,0,0,0,24.648949077114224,10.833484045566262,28.47016095800764,0.7617012472192727,89.16651595443373,71.52983904199236,99.23829875278072
6300,22,22,9,8,1,4,481.42127802189424,0,0,0,19.86337841493705,12.112902642213117,21.420069347391195,2.554471075194979,87.88709735778689,78.57993065260881,97.44552892480502
5450,22,22,11,7,0,4,499.0282093076113,0,0,0,13.165989522799784,10.469834313658247,13.134816672949725,0.0,89.53016568634175,86.86518332705027,100.0
3500,24,24,16,5,2,1,478.2979562578836,0,0,0,21.388334613140234,12.893543753596543,25.195212297420543,5.568948666246435,87.10645624640345,74.80478770257946,94.43105133375357
4450,22,22,12,7,1,2,509.80853981940186,0,0,0,24.822289860262607,11.930874701233906,29.242964152910446,2.1781866650044512,88.0691252987661,70.75703584708955,97.82181333499555
4650,22,22,13,4,2,3,492.0239378897335,0,0,0,23.201865841331966,12.914785417393299,20.283055297358445,19.663148379242923,87.0852145826067,79.71694470264156,80.33685162075707
6000,22,22,11,5,1,5,515.8437537144728,0,0,0,19.329354754733586,11.436296302365513,21.129235895064248,2.33257566927184,88.56370369763448,78.87076410493574,97.66742433072815
7150,22,22,9,4,4,5,487.50528164608454,0,0,0,24.27546468160126,12.310514750228442,21.23533174290794,19.555948265463904,87.68948524977156,78.76466825709207,80.44405173453609
7600,22,22,8,6,2,6,545.0544689645219,0,0,0,17.09353021575765,10.112399331309579,17.786698069108343,4.760453952278376,89.88760066869042,82.21330193089166,95.23954604772162
7750,23,23,9,5,3,6,465.71961754535533,0,0,0,23.36072233994719,11.412923626445362,23.10045452671274,19.80958371255138,88.58707637355464,76.89954547328726,80.19041628744861
7150,24,24,11,4,4,5,503.2241953813976,0,0,0,20.38309495259383,12.32331231518833,19.067039387390633,20.06773197042059,87.67668768481167,80.93296061260936,79.9322680295794
6250,22,22,10,5,3,4,471.476219127569,0,0,0,20.16630860644404,10.323067830780893,21.974120155190228,5.860418319069393,89.6769321692191,78.02587984480977,94.1395816809306
6000,22,22,11,5,1,5,520.7893893141581,0,0,0,20.821265060081043,10.492946075960548,23.915330801450672,2.698913635764982,89.50705392403945,76.08466919854934,97.30108636423502
6850,23,23,9,6,5,3,486.48112709346043,0,0,0,23.944351408537635,11.40893154891331,25.52057873861641,12.67135769968665,88.59106845108668,74.47942126138359,87.32864230031335
5600,22,22,10,6,4,2,480.7724114202917,0,0,0,28.359120508985107,10.942404957554169,30.105809203649248,17.777064806792335,89.05759504244583,69.89419079635076,82.22293519320766
8750,25,25,9,5,5,6,477.3973931635157,0,0,0,19.37470140185309,13.495865430479236,20.330639464423005,12.926253880423985,86.50413456952076,79.669360535577,87.07374611957601
4950,21,21,13,2,1,5,488.30713994013996,0,0,0,18.36723051803859,10.651156641520899,18.764525441083443,2.7607439101267213,89.3488433584791,81.23547455891656,97.23925608987328
5750,22,22,8,10,3,1,565.8927190445454,0,0,0,21.81616383015152,12.167512340450632,23.465056811584514,5.260555772539654,87.83248765954937,76.53494318841548,94.73944422746035
